Number,last_meal,cookie_order,treatment,taste,texture,1st Choice,2nd Choice,tester
83,2,132,more,9.5,9,3,2,Dogukan
84,17.5,231,more,7,9,1,2,Dogukan
85,14.5,123,more,8.5,8.5,3,2,Dogukan
86,1.5,321,more,8.5,8,2,1,Dogukan
87,2.5,213,more,8,7,2,1,Dogukan
88,4.5,132,more,9,9,3,2,Dogukan
89,16.5,312,more,6,8,1,2,Dogukan
90,18,321,more,9,8.5,3,2,Dogukan
91,13,231,more,7.5,5,1,2,Dogukan
92,3,123,more,8,7,3,1,Dogukan
93,5,132,more,9,8,3,1,Dogukan
94,4,312,more,9,9,3,1,Dogukan
95,1.5,213,more,7,8,2,3,Dogukan
96,4,123,more,9,6.5,1,2,Dogukan
97,4,231,more,6,5,3,1,Dogukan
98,3,312,more,5,5,2,1,Dogukan
99,15,213,more,7,8,1,3,Dogukan
100,4.5,132,more,8,7,1,3,Dogukan
